fullcurrname,CAS_SPC
Labeobarbus johnstonii,1646
Labeobarbus jubbi,1647
Enteromius kamolondoensis,1648
Enteromius stigmatopygus,1649
Garra kemali,1650
Enteromius kerstenii,1651
Enteromius kerstenii,1652
Enteromius kerstenii,1653
Enteromius kerstenii,1654
Enteromius apleurogramma,1655
Enteromius kerstenii,1656
Enteromius kerstenii,1657
Enteromius mohasicus,1658
Enteromius kessleri,1660
Enteromius kessleri,1661
Labeobarbus kimberleyensis,1662
Labeobarbus kimberleyensis,1663
Enteromius kissiensis,1664
Carasobarbus kosswigi,1665
Barbus lacerta,1666
Barbus cyri,1667
Barbus cyri,1668
Barbus cyri,1669
Barbus cyri,1670
Barbus cyri,1672
Barbus cyri,1673
Enteromius lamani,1675
Enteromius laticeps,1676
Enteromius perince,1677
Enteromius leonensis,1678
Enteromius liberiensis,1679
Enteromius lineomaculatus,1680
Enteromius quadrilineatus,1681
Enteromius lornae,1682
Enteromius litamba,1684
Luciobarbus longiceps,1685
Labeobarbus longifilis,1686
Luciobarbus lorteti,1687
Enteromius loveridgii,1688
Raiamas intermedius,1689
Labeobarbus lucius,1690
Enteromius lufukiensis,1691
Enteromius luikae,1692
Enteromius lujae,1693
Enteromius lukindae,1694
Enteromius lukusiensis,1695
Enteromius luluae,1696
Carasobarbus luteus,1697
Carasobarbus luteus,1698
Enteromius machadoi,1699
Enteromius macinensis,1700
Labeobarbus macroceps,1701
Labeobarbus macrolepis,1702
Enteromius macrops,1703
Enteromius macrops,1704
Enteromius macrops,1705
Enteromius macrotaenia,1706
Enteromius magdalenae,1707
Labeobarbus malacanthus,1708
Enteromius manicensis,1709
Enteromius manicensis,1710
Labeobarbus marequensis,1711
Labeobarbus marequensis,1712
Labeobarbus marequensis,1713
Labeobarbus marequensis,1714
Labeobarbus marequensis,1715
Labeobarbus marequensis,1716
Labeobarbus marequensis,1717
Labeobarbus marequensis,1718
Labeobarbus marequensis,1719
Labeobarbus marequensis,1720
Labeobarbus marequensis,1721
Labeobarbus marequensis,1722
Labeobarbus marequensis,1723
Labeobarbus marequensis,1724
Labeobarbus rhinoceros,1726
Enteromius marmoratus,1727
Enteromius martorelli,1728
Enteromius matthesi,1729
Enteromius mattozi,1730
Enteromius mattozi,1731
Enteromius mattozi,1732
Labeobarbus mirabilis,1733
