NAME,LineageID,AUTHOR_DATE,COMMONNAME,INDEXNAME,CLASS_NM,ORD_Parent,ORD_NM,SO_Parent,SO_NM,FAM_Parent,FAM_NM,SF_Parent,SF_NM,Parent_id_fomula,Parent_id,Rank_id,Rank_name,REMARKS,ClassNum,OrderNum,SuborderNum,FamilyNum,SubfamilyNum,TimeStamp
Echinorhinidae,416,Gill 1862,bramble sharks,sharks;bramble,Elasmobranchii,637,Echinorhiniformes,1295,NULL,NULL,Echinorhinidae,NULL,NULL,1295,1295,50,Family,NULL,5,9.2,NULL,16.1,NULL,06:27.0
Pristiophoridae,13,Bleeker 1859,saw sharks,sharks;saw,Elasmobranchii,637,Pristiophoriformes,578,NULL,NULL,Pristiophoridae,NULL,NULL,578,578,50,Family,NULL,5,9.5,NULL,17,NULL,16:47.0
Squatinidae,14,de Blainville 1816,angel sharks,sharks;angel,Elasmobranchii,637,Squatiniformes,579,NULL,NULL,Squatinidae,NULL,NULL,579,579,50,Family,NULL,5,9.7,NULL,18,NULL,23:00.0
Platyrhinidae,1110,Jordan 1923,thornbacks / fanrays,NULL,Elasmobranchii,637,Torpediniformes,747,NULL,NULL,Platyrhinidae,NULL,NULL,747,747,50,Family,NULL,5,10,NULL,20.1,NULL,56:47.0
Narkidae,728,Fowler 1934,sleeper rays,NULL,Elasmobranchii,637,Torpediniformes,747,NULL,NULL,Narkidae,NULL,NULL,747,747,50,Family,NULL,5,10,NULL,20.3,NULL,17:16.0
Narcinidae,727,Gill 1862,numbfishes,NULL,Elasmobranchii,637,Torpediniformes,747,NULL,NULL,Narcinidae,NULL,NULL,747,747,50,Family,NULL,5,10,NULL,20.4,NULL,17:06.0
Hypnidae,725,Gill 1862,coffin rays,NULL,Elasmobranchii,637,Torpediniformes,747,NULL,NULL,Hypnidae,NULL,NULL,747,747,50,Family,NULL,5,10,NULL,20.5,NULL,31:35.0
Torpedinidae,724,Henle 1834,electric rays / torpedo rays,rays;electric,Elasmobranchii,637,Torpediniformes,747,NULL,NULL,Torpedinidae,NULL,NULL,747,747,50,Family,NULL,5,10,NULL,20.6,NULL,09:25.0
Trygonorrhinidae,1112,"Last, SÃ©ret & Naylor 2016",fiddler rays / banjo rays,NULL,Elasmobranchii,637,Rhinopristiformes,580,NULL,NULL,Trygonorrhinidae,NULL,NULL,580,580,50,Family,NULL,5,10.2,NULL,20.8,NULL,56:21.0
Rhinobatidae,16,Bonaparte 1835,guitarfishes,guitarfishes,Elasmobranchii,637,Rhinopristiformes,580,NULL,NULL,Rhinobatidae,NULL,NULL,580,580,50,Family,NULL,5,10.2,NULL,21,NULL,21:12.0
Rhinidae,1111,MÃ¼ller & Henle 1841,bowmouth guitarfishes / wedgefishes,NULL,Elasmobranchii,637,Rhinopristiformes,580,NULL,NULL,Rhinidae,NULL,NULL,580,580,50,Family,NULL,5,10.2,NULL,21.1,NULL,53:23.0
Glaucostegidae,1113,"Last, SÃ©ret & Naylor 2016",giant guitarfishes,NULL,Elasmobranchii,637,Rhinopristiformes,580,NULL,NULL,Glaucostegidae,NULL,NULL,580,580,50,Family,NULL,5,10.2,NULL,21.2,NULL,55:43.0
Pristidae,15,Bonaparte 1835,sawfishes,sawfishes,Elasmobranchii,637,Rhinopristiformes,580,NULL,NULL,Pristidae,NULL,NULL,580,580,50,Family,NULL,5,10.2,NULL,21.3,NULL,16:32.0
Rajidae,17,de Blainville 1816,skates,skates,Elasmobranchii,637,Rajiformes,746,NULL,NULL,Rajidae,NULL,NULL,746,746,50,Family,NULL,5,10.5,NULL,21.4,NULL,53:19.0
Arhynchobatidae,968,Fowler 1934,softnose skates or longtail skates,NULL,Elasmobranchii,637,Rajiformes,746,NULL,NULL,Arhynchobatidae,NULL,NULL,746,746,50,Family,split out or rajidae June 2008. Deepwater skates.,5,10.5,NULL,21.5,NULL,34:29.0
Gurgesiellidae,1147,de Buen 1959,leg skates / pygmy skates,NULL,Elasmobranchii,637,Rajiformes,746,NULL,NULL,Gurgesiellidae,NULL,NULL,746,746,50,Family,NULL,5,10.5,NULL,21.6,NULL,10:29.0
Anacanthobatidae,419,von Bonde & Schwart 1923,smooth skates,skates;smooth,Elasmobranchii,637,Rajiformes,746,NULL,NULL,Anacanthobatidae,NULL,NULL,746,746,50,Family,NULL,5,10.5,NULL,21.7,NULL,52:30.0
Zanobatidae,1138,Fowler 1934,panrays,NULL,Elasmobranchii,637,Myliobatiformes,1047,NULL,NULL,Zanobatidae,NULL,NULL,1047,1047,50,Family,NULL,5,10.6,NULL,22.2,NULL,26:24.0
